question,content
"Tôi bị phình mạch não đã đặt stent từ tháng 2/2020. Hiện nay, mỗi ngày phải uống thuốc chống đông máu. Tôi cao 170 cm, nặng 65 kg, thể thao tốt, không tiền sử dị ứng, huyết áp, đái đường, gout, mỡ máu hơi cao chút. Với thể trạng và bệnh nền như vậy, tôi có tiêm vaccine Covid-19 được không? Nếu tiêm thì tiêm loại nào? Cần chuẩn bị gì trước, trong và sau khi tiêm?","Trường hợp của anh đang dùng thuốc chống đông để điều trị dự phòng tái phát bệnh nên anh thuộc nhóm đối tượng cần thận trọng khi tiêm chủng vaccine Covid-19. Theo hướng dẫn của Bộ Y tế, để đảm bảo an toàn, trường hợp của anh cần được khám sàng lọc và triển khai tiêm chủng tại khối bệnh viện. Khi khám sàng lọc trước tiêm, anh cần cung cấp đầy đủ thông tin, tiền sử điều trị bệnh cho bác sĩ được biết và chỉ định tiêm chủng an toàn. Sau khi tiêm chủng, anh, chị cần ở lại cơ sở tiêm chủng ít nhất 30 phút và tiếp tục theo dõi sức khỏe tại nhà ít nhất 7-28 ngày để phát hiện sớm những dấu hiệu của phản vệ, cũng như những triệu chứng của huyết khối như đau đầu, đau bụng, . ."
Có cách nào để biết được chân tóc có thể phục hồi hay không?,"Mỗi người rụng khoảng 100 sợi tóc mỗi ngày, nhưng trông bên ngoài mái tóc không hề mỏng đi, bởi song song với rụng tóc là những sợi tóc mới đang mọc lên. Hói đầu xảy ra khi sự cân bằng giữa rụng tóc và mọc tóc bị phá vỡ, hoặc khi các nang tóc bị phá hủy, thay thế bằng mô sẹo.Rụng tóc thường liên quan tới một hoặc nhiều yếu tố dưới đây:Tiền sử gia đình (di truyền): Đây là nguyên nhân phổ biến nhất của rụng tóc, mang tên hói đầu nam di truyền hoặc hói đầu nữ di truyền. Nó thường xảy ra dần dần theo tuổi tác. Thay đổi nội tiết tố và tình trạng bệnh lý: Có rất nhiều tình trạng khác nhau gây ra rụng tóc tạm thời hoặc vĩnh viễn, bao gồm thay đổi nội tiết tố do mang thai, sinh nở, mãn kinh và bệnh lý tuyến giáp. Các bệnh lý bao gồm rụng tóc từng mảng (alopecia areata), nhiễm trùng da đầu (chẳng hạn như bệnh nấm da), hay chứng hưng cảm giật tóc (trichotillomania). Thuốc điều trị và dược phẩm bổ sung: Rụng tóc có thể là tác dụng không mong muốn của một số thuốc nhất định, chẳng hạn như thuốc điều trị ung thư, viêm khớp, trầm cảm, các bệnh lý về tim, gút và tăng huyết áp. Xạ trị khu vực đầu: Sau xạ trị tóc có thể không mọc lại được như ban đầu. Một số cách xử lý và tạo mẫu tóc: Một số phương pháp xử lý và tạo kiểu bằng cách kéo ép chặt tóc, chẳng hạn như tóc thắt đuôi sam hay cornrows, có thể gây rụng tóc, gọi là rụng tóc do lực kéo (traction alopecia). Xử lí tóc bằng dầu nóng có thể dẫn tới viêm nang tóc và dẫn tới rụng tóc. Nếu hình thành sẹo thì rụng tóc sẽ là vĩnh viễn.Hiện nay, để biết được xem chân tóc có phục hồi hay không, có máy soi phóng to hình ảnh chân tóc để chẩn đoán nguyên nhân."
Tôi bị dị ứng thuốc gout có tiêm đuọc vaccine Covid-19 không?,"Anh/chị bị dị ứng thuốc điều trị gout, không rõ tình trạng dị ứng thế nào?Nếu là phản ứng phản vệ từ độ 2 trở lên phải vào viện cấp cứu (nổi ban, khó thở, tím tái, nổi mọng nước. . ) thì sẽ không được tiêm vaccine phòng Covid-19. Còn nếu mức độ dị ứng nhẹ chỉ nổi ban, ngứa tự hết hoặc sử dụng thuốc uống tự hết thì anh/chị có thể tiêm chủng tại điểm tiêm có đầy đủ trang thiết bị cấp cứu (khối bệnh viện)."
"Tôi bị dị ứng với cua đồng, tép đồng, các con cao đạm như nhộng, trứng kiến hay đuông khi ăn. Và cách đây 3 năm có triệu chứng sốc phản vệ (thở khò khè, hoa mắt, nổi mề đay, mạch giảm) không rõ nguyên nhân. Điều trị trong ngày khỏi và ra viện ngay. Với các tiền sử bệnh lý như trên tôi có thể tiêm phòng vaccine Covid-19 không?. Sức khoẻ tôi hiện tại bình thường. Các chỉ số gout, tiểu đường, mỡ máu đều ở trong ngưỡng cho phép nhưng hơi cao.","Với các triệu chứng như mô tả, bạn có triệu chứng của phản ứng phản vệ độ II dù chưa rõ nguyên nhân. Theo hướng dẫn của Bộ Y tế, phản ứng phản vệ độ II với bất kỳ tác nhân nào đều thuộc nhóm chống chỉ định tiêm chủng vaccine Covid-19."
"Tôi có những bệnh lý nền như huyết áp (nhóm tiền cao HA) uống thuốc đều đặn từ nhiều năm nay, gout nhẹ (năm 2019 bị 1 trận cấp) sau đó uống thuốc đều đặn, thực nhiện tốt chế độ ăn kiêng, năng đi bộ, hầu như không uống bia rượu nữa...Vậy thì có đủ điều kiện tiêm vaccine phòng chống Covid-19 hay không?","Những người có tiền sử bệnh mạn tính nếu đã điều trị ổn định vẫn có thể tiêm phòng vaccine Covid-19 tại các cơ sở tiêm chủng trong bệnh viện. Việc tiêm vaccine phòng Covid-19 là cần thiết trong giai đoạn này, đặc biệt đối với những người có bệnh lý nền - một trong những yếu tố làm tăng nguy cơ mắc và gặp các biến chứng nặng của bệnh. Tuy nhiên, bác sĩ cần đánh giá thêm về tình trạng sức khỏe cũng như các thuốc mà chị đang điều trị tại thời điểm thăm khám để đưa ra khuyến cáo phù hợp. Nếu bệnh lý chưa được kiểm soát tốt thì chị sẽ cần tạm hoãn tiêm chủng."
Định lượng Ferritin và acid uric trong máu có liên quan đến nhau không?,"Ferritin là protein dự trữ sắt, Ferritin tự do trong huyết thanh phản ánh nồng độ sắt dự trữ và được dùng làm chỉ số xét nghiệm để đánh giá mức độ dự trữ sắt trong cơ thể. Đối với xét nghiệm định lượng Ferritin, một người khỏe mạnh bình thường dao động từ 20 đến 250 ng/ml (đối với nam), nữ giới dao động từ 10 đến 120 ng/ml.Xét nghiệm định lượng Ferritin sẽ giúp bác sĩ hiểu lượng sắt cơ thể lưu trữ được bao nhiêu. Nếu xét nghiệm Ferritin cho thấy mức độ Ferritin trong máu thấp hơn bình thường, điều đó có nghĩa dự trữ sắt của cơ thể thấp. Ngược lại, khi kết quả xét nghiệm Ferritin cao hơn bình thường thì có khả năng bệnh nhân bị ứ sắt.Xét nghiệm Ferritin cao cũng có thể là dấu hiệu của một số căn bệnh như bệnh Thalassemia, các bệnh lý viêm gan, viêm khớp dạng thấp, một số bệnh lý viêm cấp và mạn tính, cường giáp, lạm dụng rượu, tiểu đường tuýp 2, truyền máu nhiều lần mà không được thải sắt hoặc một số bệnh ung thư (gan, tụy, phế quản, thần kinh, u lympho ác tính, lơ xê mi) cũng có thể gây ra mức độ Ferritin trong máu cao.Ngoài ra, xét nghiệm Ferritin cao cũng có thể do đột biến gen HFE. Gen HFE có 2 đột biến phổ biến là C282Y và H63D. Nếu một người thừa hưởng 2 gen bất thường có thể phát triển bệnh thừa sắt. Đột biến ở các gen này làm giảm sự kiểm soát của sự hấp thụ sắt trong quá trình tiêu hóa và làm thay đổi sự phân bố của sắt đến các bộ phận của cơ thể. Tuy nhiên, đây là nhóm nguyên nhân rất ít gặp ở người châu Á.Acid uric là sản phẩm chuyển hóa của nhân purin- thành phần cấu tạo nên DNA, RNA,...(các vật chất di truyền). Acid uric được thải trừ qua thận. Khi acid uric trong máu tăng cao vượt quá độ bão hòa, nó có thể kết tinh lại thành các tinh thể urat, lắng đọng ở khớp gây ra cơn gút cấp (bệnh gút). Hoặc lắng đọng tại da, mô mềm thành các hạt tophi, hoặc tạo thành sỏi urat ở thận. Tăng acid uric máu có thể có triệu chứng hoặc không có triệu chứng. Tăng acid uric máu có triệu chứng thường đề cập đến các cơn gút cấp hoặc bệnh gút mạn.Có nhiều nguyên nhân gây tăng acid uric máu, tựu chung lại chia thành hai nhóm lớn do tăng chuyển hóa nhân purin hoặc giảm thải trừ qua thận. Các nguyên nhân có thể kể đến:Uống nhiều bia rượuChế độ ăn nhiều purin: Phủ tạng động vật, tôm cua, hải sản, đậu hạt các loại, nấm,...Suy thận mạnDo các bệnh lý làm phá hủy tế bào quá mức: Lơ xê mi, các bệnh lý ác tính, vẩy nến,..Do thuốc: Nhiều thuốc có thể làm tăng acid uric như corticoid, thuốc lợi tiểu (furosemid), aspirin, thuốc chống lao (Ethambutol, Pyrazinamid,..),...Do thiếu hụt enzym trong chuyển hóa purin (bệnh di truyền)Qua rất nhiều nghiên cứu cho thấy Urat hoạt động như một chất chelat hóa sắt và do đó, sắt có thể điều chỉnh hoạt động của xanthine oxidase và sản xuất urat. Vì vậy, Ferritin có liên quan tỷ lệ thuận với urat trong huyết thanh, với sự gia tăng urat huyết thanh được xem như một dấu hiệu của tình trạng thừa sắt. Sắt có thể góp phần gây viêm gút bằng cách hình thành phức hợp với tinh thể urat (MSU- monosodium urate), kích thích quá trình oxy hóa thông qua việc tạo ra các loại oxy phản ứng và góp phần kích hoạt bạch cầu hạt và bổ thể.Thực phẩm là nguồn cung cấp sắt chủ yếu, thông qua các nguồn động vật và thực vật. Chế độ ăn uống cũng là một nguồn cung cấp đạm (protein). Những thực phẩm giàu purin từ chế độ ăn có nguồn gốc động vật có liên quan đến việc tăng nguy cơ tái phát cơn gút trong khi thực phẩm giàu purin từ chế độ ăn có nguồn gốc thực vật thì không. Thông qua sự kết hợp chế độ ăn làm tăng lượng sắt huyết thanh trong thực phẩm giàu purin (thịt đỏ) có thể là một yếu tố nguyên nhân gây ra bệnh gút và tần suất bùng phát.Chế độ ăn:Bổ sung thêm 500 - 1000mg vitamin C hàng ngày.Uống nhiều nước để tăng cường đào thải acid uric, nên uống nước khoáng kiềm.Chỉ nên ăn các loại thịt có màu trắng (thịt cá sông, thịt lườn gà, thịt heo,...) vì thịt có màu trắng thường ít purin hơn, lượng protein cần thiết cho cơ thể mỗi ngày là 50-100g.Tinh bột và thực phẩm giàu carbohydrate là loại thực phẩm quan trọng đối với người bệnh gout, bởi nó chứa một lượng purin an toàn. Chúng có chức năng làm giảm và hòa tan acid uric trong nước tiểu. Vì vậy, người bệnh có thể thoải mái ăn mì, phở, bún, khoai, bánh mì, ngũ cốc, gạo, mì,....Tăng cường các loại thực phẩm thảo dược có chức năng đào thải axit uric trong máu ra ngoài như cherry, dâu tây, cải bẹ xanh, cam, lá sake.Người bệnh có thể ăn thoải mái các loại rau củ vì chúng chỉ chứa khoảng 20-25 mg purin, trừ một số loại như nấm, giá đỗ, măng tây. Các loại rau ít purin dành cho người bệnh gout là rau cần, dưa chuột, súp lơ, cải bắp, cải xanh, các loại cà,....Nên thay thế các loại dầu bằng dầu ô liu, dầu lạc, dầu vừng,....để giảm bớt lượng chất béo.Khi chế biến nên ưu tiên các món hấp, luộc, hạn chế tối đa các món ăn chiên, xào nhiều dầu mỡ.Hạn chế tối đa các thực phẩm có lượng purin cao như nội tạng động vật, thịt bò, tôm, cua, ghẹ, thịt thú rừng, thịt gia cầm, các loại động vật có vỏ (sò, ốc, hến,.....). Những thực phẩm này dễ làm tăng nguy cơ hình thành bệnh gout cấp tính.Một số loại rau không tốt cho người bệnh gout là rau bina, cải bắp, măng tây và nấm.Hạn chế chất béo trong khẩu phần ăn bằng cách chọn thịt nạc, gia cầm không ăn da và các sản phẩm sữa ít chất béo.Tránh các loại hoa quả chua, đồ lên men, các loại nấm, măng, giá đỗ trong thực đơn bởi chúng có thể làm tăng tốc độ tổng hợp axit uric trong cơ thể.Một số loại gia vị như ớt, hạt tiêu cũng nên dùng hạn chế vì chúng có thể gây hưng phấn thần kinh tự chủ gây tái phát bệnh gout.Tránh uống rượu bởi rượu làm gia tăng sự tạo axit uric trong gan và ngăn cản thận thải axit uric.Nếu chế độ ăn uống rất nghiêm túc nhưng không đỡ thì bác nên khám bác sĩ chuyên khoa Nội tiết để tư vấn điều trị."
Người mắc lao kê đang uống thuốc điều trị và sốt 39 độ có sao không?,"Bệnh lao kê là một dạng bệnh lao do vi khuẩn mycobacterium đi đến các cơ quan ngoài phổi, như gan, lá lách và thận. Vi khuẩn gây bệnh lây lan từ hệ thống phổi đến hệ thống bạch huyết và cuối cùng theo dòng máu đến các cơ quan khác.Phác đồ điều trị lao kê tiêu chuẩn theo khuyến cáo của tổ chức Y tế Thế giới là dùng isoniazid và rifampicin trong 6 tháng, cũng như ethambutol và pyrazinamid trong hai tháng đầu tiên.Nếu có bằng chứng của viêm màng não, bạn có thể điều trị kéo dài đến 12 tháng. Tác dụng không mong muốn khi uống Ethambutol thường gặp là tăng acid uric máu, nhất là trong 2 tuần đầu, có thể có sốt, đau khớp. Triệu chứng này có thể thoáng qua, nếu sốt cao, đau mỏi nhiều bạn nên khám lại với Bác sĩ chuyên khoa Hô hấp tại cơ sở Y tế gần nhà hoặc bệnh viện thuộc Hệ thống Y tế Vinmec để được tư vấn điều trị."
"mẹ tôi năm nay 61 tuổi, có bệnh cao huyết áp, mỡ máu và gout thì có tiêm thuốc Pfizer được không ạ?","Người bị bệnh mãn tính như của mẹ của anh/chị không thuộc nhóm chống chỉ định tiêm chủng vaccine Covid-19 (Pfizer). Tùy thuộc vào điều kiện sức khỏe tại thời điểm khám sàng lọc, mẹ của anh/chị có thể được chỉ định tiêm chủng nếu các bệnh nền đã ổn định hoặc tạm hoãn nếu có bất thường/chưa ổn định."
"tôi bị viêm xoang, viêm họng mãn tính, bị thoái hoá cột sống cổ và lưng, mỡ máu cao, acid uric cao, gần đây bạch cầu cũng tăng bất thường, rối loạn chuyển hoá acid uric, cơ địa hay nổi mề đay khi uống nhiều thuốc tây, dị ứng dexa và tetra. Như vậy thì tôi có tiêm được vaccine Covid-19 không?","Hiện tại, anh có bệnh lý đang tiến triển nên cần trì hoãn tiêm chủng vaccine Covid-19 trong thời gian này. Anh có thể được tiêm vaccine Covid-19 khi các bệnh lý này được điều trị ổn định. Anh cần mang theo hồ sơ sức khỏe cá nhân gần đây để được nhân viên y tế khám sàng lọc, tốt nhất anh nên được khám và tiêm chủng tại bệnh viện, nơi có đủ điều kiện để xử trí các tai biến nặng có thể xảy ra sau khi tiêm vaccine."
"Thưa bác sĩ, tôi 60 tuổi, huyết áp 150/90, va gout nhẹ. Vậy tôi có thểm tiêm vaccine Covid-19 thế nào?","Anh/chị có bệnh lý nền là huyết áp và gout. Theo hướng dẫn của Bộ Y tế, những người có bệnh lý nền mãn tính đã điều trị ổn định thì vẫn tiêm vaccine Covid-19 được, đồng thời trong vòng 3 tháng trước thời điểm tiêm vaccine không cần phải thay đổi điều trị đáng kể hoặc phải nhập viện vì bệnh lý nặng hơn."
"tôi có bệnh mãn tính là tim mạch, tiểu đường đã kiểm soát tốt, có kèm theo bệnh rối loạn chuyển hoá mỡ, có hiện tượng đau thắt ngực trái. Hiện tôi đang dùng thuốc tim mạch và tiểu đường, chống kết tập tiểu cầu, hạ mỡ gout. Với tình trạng này của tôi thì có chích ngừa vaccine Covid-19 được không, tôi đã chích ngừa cúm mùa vào 3/2021.","Đối với bệnh nhân có bệnh tim mạch, tiểu đường ổn định, hiện tại đang dùng thuốc tim mạch và tiểu đường, thuốc chống kết tập tiểu cầu, hạ mỡ máu cần phải được khám và tiêm chủng tại bệnh viện hoặc cơ sở có đủ năng lực hồi sức cấp cứu ban đầu. Điều này nhằm kịp thời xử trí nếu có phản ứng phụ nghiêm trọng xảy ra sau tiêm. Ngoài ra, anh cần mang theo hồ sơ sức khỏe cá nhân để bác sĩ khám sàng lọc và tư vấn chính xác nhất trước tiêm chủng."
"Rát họng, đau nhức toàn thân và tê bì chân là do đâu?","Vấn đề đầu tiên của bạn là tình trạng đau nhức khớp toàn thân liên tục và tăng thêm khi có viêm họng, viêm amidan cấp. Thông thường bệnh cảnh đau khớp cấp kết hợp viêm họng cấp thường nghĩ đến tác nhân Strepptococcus nhóm A, tuy nhiên thường kèm theo sốt và gây nên những đợt cấp, sau khi qua đợt cấp các triệu chứng sẽ hết và có thể tái diễn sau đó. Một số nguyên nhân khác gây tình trạng đau khớp kéo dài thường gặp là thoái hóa khớp, gout, viêm khớp tự miễn. . . và khi bạn bị viêm họng do tác nhân siêu vi cũng sẽ làm tình trạng các khớp đau nhức hơn. Do vậy, bạn cần khám bác sĩ chuyên khoa Nội Khớp. Vấn đề thứ hai là tê bì chân khi ngồi xổm 1-2 phút, có thể do tư thế ngồi xổm làm gối gập sát dẫn đến việc giảm hồi lưu máu tĩnh mạch từ bàn chân về tim cũng như gây căng dãn các dây thần kinh vùng quanh gối sẽ tạo cảm giác mỏi và tê bì, biểu hiện này thường là sinh lý. Nếu các triệu chứng này nặng, làm ảnh hưởng sinh hoạt hàng ngày bạn có thể đăng ký khám bác sĩ chuyên khoa Nội Thần kinh để được tư vấn, đo điện cơ đánh giá bệnh lý thần kinh ngoại biên cũng như siêu âm mạch máu chi dưới kiểm tra tình trạng suy van tĩnh mạch chi dưới nhé"
